Method,CU (s) 1,CU (s) 2,CU (s) 3,USD 1,USD 2,USD 3,Duration 1,Duration 2,Duration 3
Azure Storage Explorer," 13,340 "," 13,335 "," 13,329 ", $0.42 , $0.42 , $0.42 ," 1,112 ", 413 , 412 
AzCopy," 13,317 "," 13,297 "," 13,309 ", $0.42 , $0.42 , $0.42 , 412 , 409 , 408 
OneLake Explorer," 13,406 ",,, $0.42 ,,," 8,160 ",,
Browser Upload," 52,897 ",,, $1.65 ,,," 1,800 ",,
Pipeline Copy Activity," 23,040 "," 23,040 "," 23,040 ", $0.72 , $0.72 , $0.72 , 48 , 46 , 46 
Pipeline Copy Job," 23,044 "," 23,044 "," 23,044 ", $0.72 , $0.72 , $0.72 , 46 , 41 , 45 
Fastcp," 18,585 "," 18,767 "," 18,758 ", $0.58 , $0.59 , $0.59 , 57 , 53 , 57 
